#0000FF,#001CFF,#0038FF,#0055FF,#0071FF,#008DFF,#00AAFF,#00C6FF,#00E2FF,#00FFFF
1,1,1,1,1,1,0.956,0.9085,0.903,0.8691
1,1,1,1,1,1,0.956,0.9085,0.903,0.8693
1,1,1,1,1,1,0.9561,0.9086,0.9031,0.8701
1,1,1,1,1,1,0.9561,0.9089,0.9036,0.8738
1,1,1,1,1,1,0.9563,0.9102,0.9054,0.887
1,1,1,1,1,1,0.9566,0.9142,0.9112,0.9264
1,1,1,1,1,0.9943,0.9562,0.9231,0.9243,0.9931
1,1,1,1,1,0.9721,0.9526,0.9377,0.9464,1
1,1,1,0.9822,0.947,0.9274,0.9405,0.9548,0.9745,1
0.8702,0.8656,0.8473,0.8346,0.8361,0.8582,0.914,0.9678,1,1
0.583,0.5867,0.6036,0.643,0.6987,0.7702,0.87,0.9686,1,1
0.3448,0.3595,0.4004,0.4722,0.5637,0.6726,0.8085,0.9502,1,1
0.1986,0.217,0.2628,0.3419,0.4464,0.5749,0.7341,0.9098,1,1
0.1164,0.1338,0.1752,0.2485,0.3502,0.4821,0.6496,0.8447,1,1
0.0711,0.0859,0.1205,0.1833,0.2743,0.3978,0.5597,0.7561,0.9942,1
0.0458,0.058,0.0863,0.1384,0.2163,0.3252,0.4716,0.6537,0.9193,1
0.0314,0.0413,0.0645,0.1077,0.173,0.2656,0.3921,0.5508,0.7964,1
0.0227,0.0308,0.0502,0.0863,0.1409,0.2185,0.3251,0.4584,0.6609,1
0.0173,0.0242,0.0406,0.0713,0.1174,0.1823,0.2715,0.3816,0.5378,1
0.0138,0.0197,0.034,0.0607,0.1001,0.155,0.23,0.3209,0.4382,1
0.0114,0.0167,0.0295,0.0531,0.0875,0.1347,0.1987,0.2749,0.363,0.8596
0.0099,0.0147,0.0263,0.0478,0.0785,0.12,0.1758,0.2413,0.3089,0.3647
0.0088,0.0133,0.0241,0.044,0.072,0.1094,0.1594,0.2172,0.2711,0.1764
0.0081,0.0123,0.0226,0.0414,0.0676,0.1022,0.1482,0.2006,0.2456,0.1061
0.0077,0.0117,0.0216,0.0397,0.0647,0.0974,0.1408,0.1899,0.2294,0.0763
0.0074,0.0114,0.0211,0.0387,0.0629,0.0945,0.1362,0.1832,0.2194,0.0624
0.0073,0.0111,0.0207,0.038,0.0618,0.0927,0.1335,0.1792,0.2135,0.0553
0.0072,0.011,0.0205,0.0377,0.0612,0.0917,0.132,0.177,0.2102,0.0517
0.0071,0.011,0.0204,0.0375,0.0609,0.0912,0.1311,0.1758,0.2084,0.0498
0.0071,0.0109,0.0203,0.0374,0.0608,0.0909,0.1307,0.1752,0.2075,0.0489
0.0071,0.0109,0.0203,0.0374,0.0607,0.0908,0.1305,0.1749,0.2071,0.0485
0.0071,0.0109,0.0203,0.0373,0.0606,0.0907,0.1304,0.1748,0.2069,0.0483
0.0071,0.0109,0.0203,0.0373,0.0606,0.0907,0.1304,0.1747,0.2068,0.0482
0.0071,0.0109,0.0203,0.0373,0.0606,0.0907,0.1304,0.1747,0.2067,0.0481
0.0071,0.0109,0.0203,0.0373,0.0606,0.0907,0.1303,0.1747,0.2067,0.0481
0.0071,0.0109,0.0203,0.0373,0.0606,0.0907,0.1303,0.1747,0.2067,0.0481
