#FF0000,#FF1C00,#FF3800,#FF5500,#FF7100,#FF8D00,#FFAA00,#FFC600,#FFE200,#FFFF00
0.023,0.022,0.0216,0.0235,0.0274,0.0335,0.0418,0.0512,0.0613,0.0462
0.023,0.022,0.0216,0.0235,0.0274,0.0335,0.0418,0.0512,0.0613,0.0462
0.023,0.022,0.0216,0.0235,0.0274,0.0335,0.0418,0.0512,0.0613,0.0463
0.0229,0.022,0.0216,0.0235,0.0274,0.0335,0.0418,0.0513,0.0614,0.0464
0.0227,0.0219,0.0216,0.0235,0.0275,0.0337,0.042,0.0516,0.0618,0.0468
0.0222,0.0216,0.0216,0.0237,0.0278,0.0342,0.0427,0.0525,0.063,0.0483
0.021,0.021,0.0216,0.0241,0.0286,0.0354,0.0444,0.0548,0.066,0.0522
0.0191,0.0199,0.0216,0.025,0.0303,0.0378,0.0479,0.0595,0.0722,0.0607
0.0168,0.0185,0.0216,0.0264,0.033,0.0421,0.054,0.0678,0.0834,0.0776
0.0145,0.0169,0.0217,0.0285,0.0373,0.0487,0.0637,0.0814,0.1021,0.1112
0.0125,0.0156,0.022,0.0313,0.0433,0.0585,0.0785,0.1025,0.1317,0.1783
0.0109,0.0145,0.0225,0.035,0.0514,0.0721,0.0997,0.1337,0.177,0.3142
0.0099,0.0138,0.0234,0.0397,0.0619,0.0905,0.1293,0.1784,0.2442,0.5748
0.0093,0.0135,0.0249,0.0456,0.0756,0.115,0.1697,0.2412,0.3413,0.9488
0.0093,0.014,0.0274,0.0535,0.0933,0.1472,0.2237,0.3261,0.4747,1
0.0101,0.0155,0.0316,0.0644,0.1165,0.1886,0.2925,0.4335,0.6391,1
0.012,0.0187,0.0388,0.0805,0.1473,0.2408,0.3755,0.5562,0.8092,1
0.0159,0.0249,0.0512,0.1047,0.1887,0.3047,0.4682,0.6786,0.9427,1
0.0243,0.0375,0.0737,0.1429,0.2448,0.3804,0.5621,0.7786,1,1
0.0438,0.0652,0.1172,0.2046,0.3203,0.4659,0.647,0.8406,1,1
0.0974,0.1344,0.2061,0.3055,0.4199,0.5576,0.7149,0.8625,1,1
0.2796,0.3313,0.3929,0.4655,0.5448,0.6493,0.7621,0.854,0.941,1
0.9031,0.8317,0.7284,0.6885,0.6882,0.7351,0.7917,0.8311,0.876,1
1,1,1,0.9119,0.8295,0.8083,0.8082,0.8056,0.8201,1
1,1,1,1,0.9399,0.8645,0.8164,0.784,0.779,0.977
1,1,1,1,1,0.9034,0.8201,0.7686,0.7517,0.937
1,1,1,1,1,0.9284,0.8218,0.7585,0.7346,0.9037
1,1,1,1,1,0.943,0.8224,0.7525,0.7249,0.882
1,1,1,1,1,0.951,0.8227,0.7492,0.7195,0.8694
1,1,1,1,1,0.9552,0.8228,0.7475,0.7168,0.8627
1,1,1,1,1,0.9572,0.8229,0.7467,0.7155,0.8594
1,1,1,1,1,0.9581,0.8229,0.7463,0.7148,0.8579
1,1,1,1,1,0.9586,0.8229,0.7461,0.7145,0.8571
1,1,1,1,1,0.9588,0.8229,0.746,0.7144,0.8568
1,1,1,1,1,0.9589,0.8229,0.746,0.7143,0.8566
1,1,1,1,1,0.9589,0.8229,0.746,0.7143,0.8566
